Estonian;Term_Example;English (United Kingdom);Term_Example;Comments;;
24-tunni|ne omatar|ve;;24-hour own supply [Daily self-consumption rate];;;;
aasta keskmi|ne andmata energia*;;average annual expected energy not served [Annual average not supplied Energy rate];"kui mitmeaasta keskmine (keskmine väärtus ühe aasta kohta), kas ei peaks olema ""average annual....";;;
aasta|ne tarbimi|ne;;annual consumption;;;;
abipingesüsteem*;;auxiliary voltage system;;;;
abrasiivsead|e;;grinding machine;;;;
administreerimi|ne;;administration;;;;
aFRR;;aFRR;;Eesti keeles nimetaks automaatne sageduse taastamise reserv;;
agregaator*;;aggregator;;;;
agregeeritud;;aggregated;;;;
ainuaktsionär*;;sole shareholder [stakeholder];;;;
ajuti|ne elektripaigaldis*;;temporary electrical installation;;;;
ajutise elektripaigaldise käidukorraldaja*;;temporary electrical installation manager;;;;
ajuti|ne elektrikaab|el;;temporary electrical cable;;;;
ajuti|ne tee*;;temporary road;;;;
aktiiv- ja reaktiivvõimekus*;;active and reactive power;Kas eesti keeles poleks korrektsem öeda aktiiv- ja reaktiivvõimsus (või -energia)? 'Power võib tähendada nii võimsust kui energiat. 'Võimekuse' vaste inglise keeles oleks pigem 'capability'.;;;
aktiivenergia*;;active energy;;;;
aktiiv|ne tööülesan|ne;;active task;;;;
aktiivsidesead|e;;active communication device;;;;
akupatarei*;;battery;;;;
akuruum*;;battery room;;;;
alajaam*;;substation;;;;
"alajaama hoone*; alajaamahoone*";;substation building;;;;
alajaama paigaldis*;;substation installation;;;;
alajaama sisestus*;;substation input;;;;
alajaama tarbija*;;substation consumer;;;;
alajaama territoorium*;;substation grounds, substation territory;;;;
alajaama andmesidevõrgu sead|e;;substation data communications network equipment;;;;
alajaama renoveerimi|ne;;substation renovation;;;;
alajaama teenindusmaa*;;substation service land;;;;
alajaama videosüsteem*;;substation videosystem [Substation video tracking system];;;;
;;;;;;
alakasutatud;;underused;underutilized on õigem;;;
alakasutustasu*;;underuse fee;underutilization fee;;;
"alalisvoolu ühendus*; alalisvooluühendus*";;direct current connection;;;;
alalisvoolukaab|el;;direct-current cable;;;;
;;;;;;
alltöövõtja*;;subcontractor;;;;
alltöövõtja töötaja;;subcontractors' employee;;;;
konservatiiv|ne tootmisseadmete stsenaarium*;;conservative generation equipment scenario;;;;
aluspad|i;;bed;;;;
aluspinnas*;;subsoil;;;;
amortiseerunud isolatsioon*;;depreciated insulation;;;;
amortiseerunud isolatsiooni vahetus*;;replacement of depreciated insulation;;;;
amortiseerunud võrgu uuendami|ne;;upgrading depreciated network;;;;
andmata energia*;;expected energy not served;Miks sõna 'expected' tõlke alguses?;Irene Puusaar etteepanekud: undelivered energy, energy not supplied;;
andmata jäänud energia*;;electricity not provided;electricity' asemel 'energy';;;
andmekaitse nõunik*;;data protection adviser;data protection officer on korrektsem;;;
andmekeskus*;;data centre;;;;
andmela|du;;data warehouse;alternatiivse tõlkena lubaks ka 'data hub'. Data warehouse on korrektne;;;
andmemaht*;;data volume;;;;
andmeside*;;data communications;;;;
andmesidevõr<k;;data communications network;;;;
andmesidevõrgu sead|e;;data communications network equipment;;;;
andmevahetus*;;exchange of data;lihtsalt 'data exchange';;;
andmevahetuse nõu|e;;requirement for exchange of data;data exchange requirement;;;
andmevahetusplatvorm*;;data exchange platform;;;;
armatuur*;;armouring;;;;
armeeritud;;reinforced;;;;
astmelüliti*;;tap changer;;;;
auditikomitee*;;audit committee;;;;
augerpuurimi|ne;;auger drilling;;;;
autentimislahendus*;;authentication solution;;;;
automaat|ne sagedusreserv*;;automatic frequency restoration reserve;;;;
avariireservelektrijaam*;;emergency reserve power plant;;;;
avariireservvõimsus*;;emergency reserve capacity;;;;
avatud tarneahel*;;open supply chain;;;;
Baasstsenaarium*;;Baseline Scenario;;;;
Balti alajaam*;;Balti substation;;;;
Balti elektrijaam*;;Balti Power Plant;;;;
Balti elektrisüsteem*;;Baltic power system;;;;
Balti elektrisüsteemi sünkroontöö*;;Baltic electricity system’s synchronous operation;;;;
Balti hädaolukorra toimepidevuse stsenaarium*;;Baltic emergency continuity scenario;;;;
betoneerimi|ne;;concrete work;;;;
betoon*;;concrete;;;;
betoonisegu*;;concrete mix;;;;
betoonpin|d;;concrete surface;;;;
betoonpõrand*;;concrete floor;;;;
bilansienergia*;;balancing energy;;;;
bilansihaldur*;;balance administrator;"balance provider õigem
Siin pigem mõeldud ilmselt ikka 'balance responsible party'
Balancing service provider- see on ametlik ENTSOe definitsioon";;;
bilansileping*;;balance contract;balance agreement õigem, balancing contract või agreement;;;
bilansiplaan*;;balancing plan;schedule'?;;;
bilansiportfell*;;balance portfolio;;;;
bilansiselgitus*;;balance settlement;kas ei peaks olema inglise keeles imbalance settlement ehk siis tegelikkuses likvideeritakse imbalancit;;;
bilansiteenus*;;balancing service;;;;
bilansitur|g;;balancing market;;;;
bilansivastutus*;;balance responsibility;;;;
biogaas*;;biogas;;;;
biomass*;;biomass;;;;
biometaan*;;biomethane;;;;
börsihin|d;;exchange price;stock exchange price;;;
CNG-kütus*;;CNG fuel;;;;
demontaaž*;;disassembly;dismantling;;;
desünkroniseerimi|ne;;desynchronisation;;;;
deterministlik* analüüs*;;deterministic analysis;;;;
diagnostika*;;diagnostics;;;;
diagnostikasead|e;;diagnostics equipment;;;;
digitaal|ne lahendus*;;digital solution;;;;
digitaal|ne tegevuskava*;;digital action plan;;;;
diiselgeneraator*;;diesel generator;;;;
D-kategooria gaasipaigaldis*;;category D gas installation;;;;
dokumendihaldussüsteem*;;document management system;;;;
dreeniv* täitepinnas*;;draining filling earth;keeleliselt mitte kige parem, võiks olla filling earth with good drainage characteristics;;;
drenaaž*;;drainage;;;;
D-tüüpi tootmismoodul*;;type D generating module;;;;
ebabilans|s;;imbalance;;;;
edastamata jäänud energia*;;energy transmission forgone [Not supplied Energy rate];Kas mitte sama mis 'andmata jäänud energia' eespool?;;;
edastatavad mõõtmis- ja kaugjuhtimissignaalid;;measurement and remote control signals to be sent out [ Telemetry of metering and control signals];;;;
eeldatav* elu|iga;;expected lifespan;;;;
eeldatav* jääkressurs|s;;expected residual resource value;;;;
e-eleringi portaal*;;e-elering portal;;;;
eeluuring*;;preliminary investigation;'pre-feasibility study' preliminary feasibility study;;;
eeluuringutaotlus*;;application for a preliminary investigation;vt. eelm.;;;
Eesti elektri ülekandesüsteem*;;Estonian electricity transmission system;;;;
Eesti elektrijaam*;;Eesti Power Plant;Estonian Power Plant;;;
Eesti elektrisüsteem*;;Estonian electricity system;;;;
Eesti elektrisüsteemi varustuskindlus*;;Estonian power system security of supply ;'power system' vs 'electricity system' - vt ka eelm.;;;
Eesti elektritarbija*;;Estonian power consumer;eelistaksin 'electricity consumer';;;
Eesti elutähtsa teenuse stsenaarium*;;Estonian vital service scenario;;;;
Eesti energiamajanduse arengukava*;;National Development Plan of the Energy Sector;ametlik tõlge ei ole paraku grammatiliselt päris õige. Of peaks olema for;;;
Eesti energiasüsteem*;;Estonian energy system;;;;
Eesti gaasisüsteem*;;Estonian gas system;;;;
Eesti hinnapiirkon|d;;Estonian price area;;;;
Eesti kaubanduslik elektribilans|s;;Estonia’s commercial electricity balance;;;;
Eesti Lairiba Arenduse Sihtasutus*;;Estonian Broadband Development Foundation;;;;
Eesti tiputarbimi|ne;;Estonian peak consumption;;;;
Eesti varustuskindlus*;;Estonian security of supply;;;;
Eesti ülekandesüsteem*;;Estonian transmission system;;;;
Eesti-Läti liin*;;Estonia-Latvia line;Estonian -Latvian line / interconnector;;;
Eesti-Soome gaasiühendus*;;Estonian-Finnish gas connection [EST-FIN NG interconnection];;;;
ehitise kaitsevöönd*;;building protection zone;;;;
ehitus ja lammutusjäätme|d;;construction and demolition waste;;;;
ehitushan|ge;;construction procurement;;;;
ehitusl|uba;;building permit;;;;
ehitusmasin*;;construction machine, construction machinery;;;;
ehitusobjekt*;;construction site;;;;
ehitusplats*;;construction site;;;;
ehitusprojekti kooskõlastami|ne;;endorsement of construction project, approval of building design [construction project approval];mitmed erinevad võimalused;;;
ehitusprojekti töövõtja*;;EPC Contractor;;;;
Ehitusregist|er;;Construction Registry;eesti keeles on korrektne 'Ehitisregister', inglise keeles 'Estonian Register of Buildings';;;
ehitusseadustik*;;Building Code;;;;
ehitusvalmidus*;;degree of completion [construction readiness];See ei ole korrektne, hetkel midagi head ka ei tule;;;
EK puhta energia paket|t;;EC's Clean Energy Package;;;;
ekskavaator*;;excavator;;;;
ekspertiis*;;expert assessment, expert analysis [Inspection];expert opinion;;;
kaasabirahastuse fond*;;co-financing facility;;;;
ühtekuuluvusfond*;;Cohesion Fund;;;;
elektri alajaam*;;power substation;;;;
elektri börsihin|d;;electricity exchange price;ka 'spot price'?;;;
elektri kaubanduslik impor|t;;commercial import of electricity;;;;
elektri põhivõrguga liitumi|ne;;connecting to the national transmission system, connecting to national grid;;;;
elektri põhivõr|k;;national transmission system, national grid;ka 'transmission grid';;;
elektri suurtootja*;;major power producer;'large power generator';;;
elektri süsteemihaldur*;;transmission system operator;;;;
elektri tarbimiskoh|t;;place of consumption [Consumption point];"'point of consumption'?; kindlasti point of consumption";;;
elektri tootmi|ne;;generation of electricity;'electricity generation';;;
elektri varustuskindlus*;;power system supply security;'security of electricity supply';;;
elektri võimsusvoo|g;;capacity flow;Kas saab olla 'võimsusvoog', pigem peaks olema energiavoog'?;;;
elektri üldkogus*;;total amount of electricity;;;;
elektri ülekandesüsteem*;;electricity transmission system;;;;
elektri ülekandevõr|k;;electricity transmission network;electricity transmission grid;;;
elektri ülekan|ne;;electricity transmission;;;;
elektribilans|s;;electricity balance;;;;
elektribörs*;;power exchange;;;;
elektrienergia*;;electricity / elecric power;;;;
elektrienergia kogutarbimi|ne;;total power consumption;;;;
elektrienergia päritolu*;;origin of electricity;;;;
elektrienergia tootmi|ne;;electricity production / Power generation;;;;
elektrihin|d;;price of electricity;electricity price;;;
elektrijaam*;;power plant;;;;
elektrikaabelliin*;;power line;;;;
elektrikatkestus*;;power outage;;;;
elektrikaubandus*;;electricity trade;;;;
elektrikaubandusbilans|s;;electricity trading balance;;;;
elektrikil|p;;distirbution board, electric panel, breaker panel [Electrical distribution board];;;;
elektrileping*;;electricity contract;;;;
elektriliin*;;power line;;;;
elektriliinide ümberehitustöö*;;power line alteration work;;;;
elektrili|ne maksimumvõimsus*;;electrical maximum capacity;;;;
elektrili|ne ühendus*;;electrical connection;;;;
elektrili|ne parameet|er;;electrical parameter;;;;
elektrilöö|k;;electric shock;;;;
elektrimüüja*;;electricity seller;eelistatult 'electricity supplier'. Kindlasti electricity supplier, electricity seller üldjuhul ei kasutata;;;
elektriosa*;;electrical part, electrical system;;;;
elektripaigaldis*;;electrical installation;;;;
elektripaigaldise käidukorraldaja*;;electrical installation manager;;;;
elektrisead|e;;electrical equipment;;;;
elektrisüsteem*;;power system;;;;
elektrisüsteemi bilans|s;;power system balance;;;;
elektrisüsteemi toimimise võrgueeskir|i;;Grid Code on the functioning of the electricity system;pigem vast 'network code' Grid code on ok ja kasutusel;;;
elektrisüsteemi varustuskindlus*;;security of the power system’s supply;;;;
elektrisüsteemihaldur*;;electricity transmission system operator;;;;
elektritarbija*;;power consumer;'electricity consumer';;;
elektritarbimise prognoos*;;forecast of electricity consumption;electricity consumption forecast;;;
elektritoodang*;;electricity output;ka 'electricity production', mõlemad ok;;;
elektritootja*;;power producer [Power producer];pigem 'electricity producer';;;
elektritootmi|ne;;electricity generation;;;;
elektritootmissead|e;;electricity generating equipment;production device;;;
elektritur|g;;electricity market;;;;
elektrituruseadus*;;Electricity Market Act;;;;
elektrituulik*;;electric wind turbine;;;;
elektritööriist*;;power tool;;;;
elektrivarustus*;;power supply;ka 'electricity supply';;;
elektrivarustuskindlus*;;security of (electricity) supply;;;;
elektrivõr|k;;electricity network;Power network;;;
elektriühendus*;;power connection;;;;
elektriülekandeliin*;;electricity transmission line [Electric power transmission line];;;;
elu|iga;;lifespan;alternatiivselt võib kasutada ka lifetime, kui räägitakse kasulikust või tehnilisest elueast;;;
elutähtsa teenuse stsenaarium*;;vital service scenario;;;;
emissioonikvoo|t;;emission allowance, carbon credit;;;;
emiten|t;;issuer;;;;
energiabilans|s;;energy balance;;;;
energiajulgeolek*;;energy security;;;;
energialii|t;;energy union;;;;
energiamajandus*;;energy sector;;;;
energiamajanduse arengukava*;;Development Plan for the Energy Sector;vt 120;;;
energiapoliitika*;;energy policy;;;;
energiasüsteem*;;energy system;;;;
energiasüsteemi juhtimiskeskus*;;energy system control centre;;;;
energiasüsteemi opereerimise risk*;;energy system operation risk;;;;
energiasüsteemide juhtimiskeskuse juhataja*;;head of energy systems control centre;;;;
energiataristu*;;energy infrastructure;;;;
energiateenus*;;energy service;;;;
energiatur|g;;energy market;;;;
energiatõhusus*;;energy efficiency, energy performance;pigem energy effiiency;;;
energiatõhususnõu|e;;energy performance requirement;pigem energy efficiency requirement;;;
energiavarustus*;;energy supply;;;;
energiavoo|g;;energy flow;;;;
ennetava|d meetme|d;;preventative measures, preventive measures;;;;
eralduskatse*;;isolation test;;;;
esindusõigus*;;right of representation;lühemalt 'representation right' pooldan samuti meie poolt pakutut;;;
esma|ne gaasivoo*;;initial flow of gas [mis selle all mõeldakse?] Vale sõnastus! ;initial gas flow;;;
esma|ne tagasitäi|de;;initial backfill;;;;
ettevalmistustöö|d;;preparatory work;;;;
fiiberoptili<ne kaab|el;;fibre optic cable;;;;
fikseeritud hooldustasu*;;Fixed Maintenance Fee;;;;
finantsjuh|t;;CFO;;;;
finantsris|k;;financial risk;;;;
fossiilkütus*;;fossil fuel;;;;
füüsili|ne isik*;;natural person [Individual];;;;
füüsilisest isikust ettevõtja*;;sole proprietor, self-employed (person);;;;
gaasi mõõtepunkt*;;gas measuring point;;;;
gaasi päritolu*;;origin of gas;;;;
gaasi päritolutunnistuste regist|er;;register of certificates of origin of gas [Natural gas origin certificate registry];"Registry of gas origin certificates; registry for guarantees of origin of gas";of of of :);;
gaasi siseriiklik* ülekandeteenus*;;domestic gas transmission service;;;;
gaasi siseriikliku ülekandeteenuse tüüptingimus|ed;;standardized terms and conditions for cross-border gas transmission service;standard terms and conditions for local (national) gas transmission service;;;
gaasi ülekandesüsteem*;;gas transmission system;;;;
gaasi ülekandeteenus*;;gas transmission service;;;;
gaasi ülekandetorustik*;;gas transmission pipeline;;;;
gaasi ülekandevõimsus*;;gas transmission capacity;;;;
gaasi ülekandevõr|k;;gas transmission network;;;;
gaasi ülekan|ne;;gas transmission;;;;t
gaasi ülepiirilise ülekandeteenuse tüüptingimus|ed;;standardized terms and conditions for cross-border gas transmission service;standard terms and conditions for cross-border gas transmission service;;;
gaasiarvesti*;;gas meter [Volumetric flow meter];;;;
gaasibörs*;;gas exchange;;;;
gaasifilt|er;;gas filter;;;;
gaasihin|d;;gas price;;;;
gaasijaam*;;gas station [delete];;;;
gaasijaotusjaam*;;gas distribution station;;;;
gaasikatkestus*;;gas interruption;;;;
gaasileping*;;gas contract;;;;
gaasimootor*;;gas engine;;;;
"gaasimõõdujaam*; gaasimõõtejaam*";;gas metering station;;;;
;;;;;;
gaasimüüja*;;gas seller;'gas supplier'. Kindlasti supplier;;;
gaasipaigaldis*;;gas installation;;;;
gaasipäev*;;gas day;;;;
gaasirõh|k;;gas pressure;;;;
gaasisüsteem*;;gas system;;;;
gaasitaristu*;;gas infrastructure;;;;
gaasitoru*;;gas pipe, gas pipeline;;;;
gaasitorustik*;;gas pipeline ;;;;
gaasitorustike hoolduse korraldaja*;;maintenance coordinator for gas pipelines;;;;
;;;;;;
gaasitorustike kaitsevöönd*;;protection zone of gas pipelines;;;;
gaasitorustiku lõi|k;;gas pipeline section;;;;
gaasitrass*;;gas route [Gas pipeline route]];;;;
gaasitur|g;;gas market;;;;
gaasivarustus*;;gas supply;;;;
gaasivoo|g;;gas flow;;;;
gaasivõr|k;;gas network [gas grid];;;;
gabarii|t;;clearance, external dimensions;;;;
garantiijuhtum*;;warranty incident [Warranty case];;;;
garantiikir|i;;letter of guarantee;ka 'letter of warranty';;;
garantiiperiood*;;warranty period;;;;
generaator*;;generator;;;;
gigavatt-tun|d;;gigawatt-hour;;;;
hanke mah|t;;scope of procurement;;;;
hankeleping*;;public contract, procurement contract;procurement contract. Public contracti tähendus on muu;;;
Hankija*;;Contracting Authority;Siin tuleb vaadata, mis tähenduses. Juriidiliselt võib olla. Kui mõeldakse tarnijat, siis supplier;;;
harmoniseerimi|ne;;harmonization, harmonizing;;;;
harmoniseeritud;;harmonized;;;;
"hindamise metoodika*; hindamismetoodika*";;"assessment methodology; evaluation methodology";;;;
;;;;;;
hinnaerinevus*;;price difference;;;;
hinnakir|i;;price list;;;;
hinnala|gi;;price cap, price ceiling;;;;
hinnapakkumi|ne;;price offer, bid;;;;
hinnapiirkon|d;;bidding area;ka 'price area'?;;;
hinnapäring*;;price query;ka 'price request' price request ok;;;
hinnasignaal*;;price signal;;;;
hinnatundlikkus*;;price sensitivity;;;;
hinnatõus*;;price rise;;;;
hinnavahe*;;price difference;;;;
hinnavahemik*;;price range;;;;
hoiuala*;;limited-conservation area;lihtsalt conservation area;;;
hooldustasu*;;maintenance fee;;;;
hooldustöö*;;maintenance work;;;;
hoonestamata tootmismaa*;;unimproved production land;undeveloped production land;;;
hoonestusõigus*;;right of superficies;Building title on korrektne;;;
hädaolukorra toimepidevuse stsenaarium*;;emergency continuity scenario;"sellele on ilmselt kuskil ka ametlik tõlge olemas
emergency contingency sceanrio";;;
hädavajalik* küpsis*;;essential cookie;;;;
häiringukind|el elektrivarustus*;;uninterrupted power supply;;;;
hüdroelektrijaam*;;hydroelectric plant;hydro power plant;;;
hülsitoru*;;sleeve pipe;;;;
identifikaator*;;identifier;;;;
